code,name,symbol
600707.SH,彩虹股份,sh600707
600708.SH,光明地产,sh600708
600710.SH,苏美达,sh600710
600711.SH,盛屯矿业,sh600711
600712.SH,南宁百货,sh600712
600713.SH,南京医药,sh600713
600714.SH,金瑞矿业,sh600714
600715.SH,文投控股,sh600715
600716.SH,凤凰股份,sh600716
600717.SH,天津港,sh600717
600718.SH,东软集团,sh600718
600719.SH,大连热电,sh600719
600720.SH,中交设计,sh600720
600721.SH,百花医药,sh600721
600722.SH,金牛化工,sh600722
600724.SH,宁波富达,sh600724
600725.SH,云维股份,sh600725
600726.SH,华电能源,sh600726
600727.SH,鲁北化工,sh600727
600728.SH,佳都科技,sh600728
600729.SH,重庆百货,sh600729
600730.SH,中国高科,sh600730
600731.SH,湖南海利,sh600731
600732.SH,爱旭股份,sh600732
600733.SH,北汽蓝谷,sh600733
600734.SH,实达集团,sh600734
600735.SH,ST新华锦,sh600735
600736.SH,苏州高新,sh600736
600737.SH,中粮糖业,sh600737
600738.SH,丽尚国潮,sh600738
600739.SH,辽宁成大,sh600739
600740.SH,山西焦化,sh600740
600741.SH,华域汽车,sh600741
600742.SH,富维股份,sh600742
600743.SH,华远控股,sh600743
600744.SH,华银电力,sh600744
600745.SH,闻泰科技,sh600745
600746.SH,江苏索普,sh600746
600748.SH,上实发展,sh600748
600749.SH,西藏旅游,sh600749
600750.SH,江中药业,sh600750
600751.SH,海航科技,sh600751
600753.SH,*ST海钦,sh600753
600754.SH,锦江酒店,sh600754
600755.SH,厦门国贸,sh600755
600756.SH,浪潮软件,sh600756
600757.SH,长江传媒,sh600757
600758.SH,辽宁能源,sh600758
600759.SH,洲际油气,sh600759
600760.SH,中航沈飞,sh600760
600761.SH,安徽合力,sh600761
600763.SH,通策医疗,sh600763
600764.SH,中国海防,sh600764
600765.SH,中航重机,sh600765
600768.SH,宁波富邦,sh600768
600769.SH,祥龙电业,sh600769
600770.SH,综艺股份,sh600770
600771.SH,广誉远,sh600771
600773.SH,西藏城投,sh600773
600774.SH,汉商集团,sh600774
600775.SH,南京熊猫,sh600775
600776.SH,东方通信,sh600776
600777.SH,*ST新潮,sh600777
600778.SH,友好集团,sh600778
600779.SH,水井坊,sh600779
600780.SH,通宝能源,sh600780
600782.SH,新钢股份,sh600782
600783.SH,鲁信创投,sh600783
600784.SH,鲁银投资,sh600784
600785.SH,新华百货,sh600785
600787.SH,中储股份,sh600787
600789.SH,鲁抗医药,sh600789
600790.SH,轻纺城,sh600790
600791.SH,京能置业,sh600791
600792.SH,云煤能源,sh600792
600793.SH,宜宾纸业,sh600793
600794.SH,保税科技,sh600794
600795.SH,国电电力,sh600795
600796.SH,钱江生化,sh600796
600797.SH,浙大网新,sh600797
600798.SH,宁波海运,sh600798
600800.SH,渤海化学,sh600800
600801.SH,华新建材,sh600801
600802.SH,福建水泥,sh600802
600803.SH,新奥股份,sh600803
600805.SH,悦达投资,sh600805
600807.SH,济高发展,sh600807
600808.SH,马钢股份,sh600808
600809.SH,山西汾酒,sh600809
600810.SH,神马股份,sh600810
600812.SH,华北制药,sh600812
600814.SH,杭州解百,sh600814
600815.SH,厦工股份,sh600815
600816.SH,建元信托,sh600816
600817.SH,宇通重工,sh600817
600818.SH,中路股份,sh600818
600819.SH,耀皮玻璃,sh600819
600820.SH,隧道股份,sh600820
600821.SH,金开新能,sh600821
600822.SH,上海物贸,sh600822
600824.SH,益民集团,sh600824
600825.SH,新华传媒,sh600825
600826.SH,兰生股份,sh600826
600827.SH,百联股份,sh600827
600828.SH,茂业商业,sh600828
600829.SH,人民同泰,sh600829
600830.SH,香溢融通,sh600830
600831.SH,广电网络,sh600831
600833.SH,第一医药,sh600833
600834.SH,申通地铁,sh600834
600835.SH,上海机电,sh600835
600838.SH,上海九百,sh600838
600839.SH,四川长虹,sh600839
600841.SH,动力新科,sh600841
600843.SH,上工申贝,sh600843
600844.SH,金煤科技,sh600844
600845.SH,宝信软件,sh600845
600846.SH,同济科技,sh600846
600847.SH,万里股份,sh600847
600848.SH,上海临港,sh600848
600850.SH,电科数字,sh600850
600851.SH,海欣股份,sh600851
600853.SH,龙建股份,sh600853
600854.SH,春兰股份,sh600854
600855.SH,航天长峰,sh600855
600857.SH,宁波中百,sh600857
600858.SH,银座股份,sh600858
600859.SH,王府井,sh600859
600860.SH,京城股份,sh600860
600861.SH,北京人力,sh600861
600862.SH,中航高科,sh600862
600863.SH,内蒙华电,sh600863
600864.SH,哈投股份,sh600864
600865.SH,百大集团,sh600865
600866.SH,星湖科技,sh600866
600867.SH,通化东宝,sh600867
600868.SH,梅雁吉祥,sh600868
600869.SH,远东股份,sh600869
600871.SH,石化油服,sh600871
600872.SH,中炬高新,sh600872
600873.SH,梅花生物,sh600873
600874.SH,创业环保,sh600874
600875.SH,东方电气,sh600875
600876.SH,凯盛新能,sh600876
600877.SH,电科芯片,sh600877
600879.SH,航天电子,sh600879
600880.SH,博瑞传播,sh600880
600881.SH,亚泰集团,sh600881
600882.SH,妙可蓝多,sh600882
600883.SH,博闻科技,sh600883
600884.SH,杉杉股份,sh600884
600885.SH,宏发股份,sh600885
600886.SH,国投电力,sh600886
600887.SH,伊利股份,sh600887
600888.SH,新疆众和,sh600888
600889.SH,南京化纤,sh600889
600892.SH,*ST大晟,sh600892
600893.SH,航发动力,sh600893
600894.SH,广日股份,sh600894
600895.SH,张江高科,sh600895
600897.SH,厦门空港,sh600897
600900.SH,长江电力,sh600900
600901.SH,江苏金租,sh600901
600903.SH,贵州燃气,sh600903
600905.SH,三峡能源,sh600905
600906.SH,财达证券,sh600906
600908.SH,无锡银行,sh600908
600909.SH,华安证券,sh600909
600916.SH,中国黄金,sh600916
600917.SH,重庆燃气,sh600917
600918.SH,中泰证券,sh600918
600919.SH,江苏银行,sh600919
600925.SH,苏能股份,sh600925
600926.SH,杭州银行,sh600926
600927.SH,永安期货,sh600927
600928.SH,西安银行,sh600928
600929.SH,雪天盐业,sh600929
600930.SH,华电新能,sh600930
600933.SH,爱柯迪,sh600933
600935.SH,华塑股份,sh600935
600936.SH,广西广电,sh600936
600938.SH,中国海油,sh600938
600939.SH,重庆建工,sh600939
600941.SH,中国移动,sh600941
600955.SH,维远股份,sh600955
600956.SH,新天绿能,sh600956
600958.SH,东方证券,sh600958
600959.SH,江苏有线,sh600959
600960.SH,渤海汽车,sh600960
600961.SH,株冶集团,sh600961
600962.SH,国投中鲁,sh600962
600963.SH,岳阳林纸,sh600963
600965.SH,福成股份,sh600965
600966.SH,博汇纸业,sh600966
600967.SH,内蒙一机,sh600967
600968.SH,海油发展,sh600968
600969.SH,郴电国际,sh600969
600970.SH,中材国际,sh600970
600971.SH,恒源煤电,sh600971
600973.SH,宝胜股份,sh600973
600975.SH,新五丰,sh600975
600976.SH,健民集团,sh600976
600977.SH,中国电影,sh600977
600979.SH,广安爱众,sh600979
600980.SH,北矿科技,sh600980
600981.SH,苏豪汇鸿,sh600981
600982.SH,宁波能源,sh600982
600983.SH,惠而浦,sh600983
600984.SH,建设机械,sh600984
600985.SH,淮北矿业,sh600985
600986.SH,浙文互联,sh600986
600987.SH,航民股份,sh600987
600988.SH,赤峰黄金,sh600988
600989.SH,宝丰能源,sh600989
600990.SH,四创电子,sh600990
600992.SH,贵绳股份,sh600992
600993.SH,马应龙,sh600993
600995.SH,南网储能,sh600995
600996.SH,贵广网络,sh600996
600997.SH,开滦股份,sh600997
600998.SH,九州通,sh600998
600999.SH,招商证券,sh600999
601000.SH,唐山港,sh601000
601001.SH,晋控煤业,sh601001
601002.SH,晋亿实业,sh601002
601003.SH,柳钢股份,sh601003
601005.SH,重庆钢铁,sh601005
601006.SH,大秦铁路,sh601006
601007.SH,金陵饭店,sh601007
601008.SH,连云港,sh601008
601009.SH,南京银行,sh601009
601010.SH,文峰股份,sh601010
601011.SH,宝泰隆,sh601011
601012.SH,隆基绿能,sh601012
601015.SH,陕西黑猫,sh601015
601016.SH,节能风电,sh601016
601018.SH,宁波港,sh601018
601019.SH,山东出版,sh601019
601020.SH,华钰矿业,sh601020
601021.SH,春秋航空,sh601021
601022.SH,宁波远洋,sh601022
601026.SH,道生天合,sh601026
601033.SH,永兴股份,sh601033
601038.SH,一拖股份,sh601038
601058.SH,赛轮轮胎,sh601058
601059.SH,信达证券,sh601059
601061.SH,中信金属,sh601061
601065.SH,江盐集团,sh601065
601066.SH,中信建投,sh601066
601068.SH,中铝国际,sh601068
601069.SH,西部黄金,sh601069
601077.SH,渝农商行,sh601077
601083.SH,锦江航运,sh601083
601086.SH,国芳集团,sh601086
601088.SH,中国神华,sh601088
601089.SH,福元医药,sh601089
601096.SH,宏盛华源,sh601096
601098.SH,中南传媒,sh601098
601099.SH,太平洋,sh601099
601100.SH,恒立液压,sh601100
601101.SH,昊华能源,sh601101
601106.SH,中国一重,sh601106
601107.SH,四川成渝,sh601107
601108.SH,财通证券,sh601108
601111.SH,中国国航,sh601111
601113.SH,华鼎股份,sh601113
601116.SH,三江购物,sh601116
601117.SH,中国化学,sh601117
601118.SH,海南橡胶,sh601118
601121.SH,宝地矿业,sh601121
601126.SH,四方股份,sh601126
601127.SH,赛力斯,sh601127
601128.SH,常熟银行,sh601128
601133.SH,柏诚股份,sh601133
601136.SH,首创证券,sh601136
601137.SH,博威合金,sh601137
601138.SH,工业富联,sh601138
601139.SH,深圳燃气,sh601139
601155.SH,新城控股,sh601155
601156.SH,东航物流,sh601156
601158.SH,重庆水务,sh601158
601162.SH,天风证券,sh601162
601163.SH,三角轮胎,sh601163
601166.SH,兴业银行,sh601166
601168.SH,西部矿业,sh601168
601169.SH,北京银行,sh601169
601177.SH,杭齿前进,sh601177
601179.SH,中国西电,sh601179
601186.SH,中国铁建,sh601186
601187.SH,厦门银行,sh601187
601188.SH,龙江交通,sh601188
601198.SH,东兴证券,sh601198
601199.SH,江南水务,sh601199
601200.SH,上海环境,sh601200
